suffix,mapped_rate,mismatch_rate,median_score,unique_concepts,total_entries
score0.6_df0_tag0_off0,0.605,0.182,0.846,36,81
score0.6_df0_tag0_off1,0.550,0.200,0.844,35,80
score0.6_df0_tag1_off0,0.324,0.000,1.000,17,74
score0.6_df0_tag1_off1,0.287,0.000,1.000,15,80
score0.6_df1_tag0_off0,0.558,0.000,0.745,35,77
score0.6_df1_tag0_off1,0.533,0.000,0.765,32,75
score0.6_df1_tag1_off0,0.486,0.000,0.762,28,72
score0.6_df1_tag1_off1,0.545,0.000,0.742,34,77
score0.7_df0_tag0_off0,0.487,0.188,0.862,29,78
score0.7_df0_tag0_off1,0.513,0.147,0.867,30,78
score0.7_df0_tag1_off0,0.267,0.000,1.000,13,75
score0.7_df0_tag1_off1,0.235,0.000,1.000,12,81
score0.7_df1_tag0_off0,0.358,0.000,0.952,23,81
score0.7_df1_tag0_off1,0.355,0.000,1.000,21,76
score0.7_df1_tag1_off0,0.350,0.000,1.000,22,80
score0.7_df1_tag1_off1,0.338,0.000,1.000,19,77
score0.8_df0_tag0_off0,0.342,0.208,1.000,20,79
score0.8_df0_tag0_off1,0.362,0.154,1.000,19,80
score0.8_df0_tag1_off0,0.221,0.000,1.000,11,86
score0.8_df0_tag1_off1,0.205,0.000,1.000,10,78
score0.8_df1_tag0_off0,0.234,0.000,1.000,12,77
score0.8_df1_tag0_off1,0.247,0.000,1.000,13,77
score0.8_df1_tag1_off0,0.247,0.000,1.000,14,81
score0.8_df1_tag1_off1,0.241,0.000,1.000,12,79
