row_id,mapped_actual_row,match_score,expected_concepts,actual_concepts,concept_matches,concept_missing,concept_extra,expected_rules,actual_rules,rule_matches,rule_missing,rule_extra
row_01,row_01,0.143,7,3,0,7,3,7,3,0,7,3
row_02,row_02,1.000,2,5,0,2,5,2,5,0,2,5
row_03,row_03,0.000,3,1,0,3,1,3,1,0,3,1
row_04,row_04,0.000,6,6,0,6,6,6,6,0,6,6
row_05,row_05,0.000,2,2,0,2,2,2,2,0,2,2
row_06,row_06,0.400,5,6,1,4,5,5,6,0,5,6
row_07,row_07,0.400,5,6,1,4,5,5,7,1,4,6
row_08,row_08,0.500,5,8,2,3,6,5,8,1,4,7
row_09,row_09,0.000,9,0,0,9,0,9,0,0,9,0
row_10,row_10,0.800,5,7,0,5,7,5,7,0,5,7
row_11,row_11,0.833,6,10,4,2,6,6,10,0,6,10
row_12,row_12,0.200,5,6,1,4,5,5,6,0,5,6
row_13,row_13,0.400,5,3,0,5,3,5,3,0,5,3
row_14,row_14,0.000,2,3,0,2,3,2,3,0,2,3
row_15,row_15,0.500,2,3,0,2,3,2,3,0,2,3
row_16,row_16,0.286,7,9,0,7,9,7,9,0,7,9
row_17,row_17,0.200,5,3,0,5,3,5,3,0,5,3
row_18,row_18,0.000,5,3,0,5,3,5,3,0,5,3
row_19,row_19,0.000,5,3,0,5,3,5,3,0,5,3
