row_id,mapped_actual_row,match_score,expected_concepts,actual_concepts,concept_matches,concept_missing,concept_extra,expected_rules,actual_rules,rule_matches,rule_missing,rule_extra
row_01,row_01,0.429,7,4,2,5,2,7,6,0,7,6
row_02,row_02,0.500,2,4,0,2,4,2,4,0,2,4
row_03,row_03,0.667,3,2,0,3,2,3,2,0,3,2
row_04,row_04,0.000,6,5,0,6,5,6,5,0,6,5
row_05,row_05,0.000,2,2,0,2,2,2,2,0,2,2
row_06,row_06,0.600,5,6,2,3,4,5,7,2,3,5
row_07,row_07,0.600,5,7,2,3,5,5,8,2,3,6
row_08,row_08,0.167,5,4,1,4,3,5,5,1,4,4
row_09,row_09,0.000,9,0,0,9,0,9,0,0,9,0
row_10,row_10,0.200,5,6,0,5,6,5,6,0,5,6
row_11,row_11,0.167,6,7,0,6,7,6,8,0,6,8
row_12,row_12,0.400,5,9,0,5,9,5,9,0,5,9
row_13,row_13,0.400,5,5,0,5,5,5,5,0,5,5
row_14,row_14,0.500,2,3,0,2,3,2,3,0,2,3
row_15,row_15,0.500,2,3,0,2,3,2,3,0,2,3
row_16,row_16,0.000,7,4,0,7,4,7,4,0,7,4
row_17,row_17,0.000,5,3,0,5,3,5,3,0,5,3
row_18,row_18,0.000,5,6,0,5,6,5,6,0,5,6
row_19,row_19,0.000,5,2,0,5,2,5,2,0,5,2
